Point_X,Point_Y,Tree_Name,Tree_Id,Genus,Species,Common_Name,Diameter,Tree__Height,ZONE_GEN,PageName,Status
-78.91560495,36.01673245,N19-QUPH-002,2248604,Quercus,phellos,Willow oak,19,40-60,RES_HIGH_DENSITY,N19,done
-78.91910255,36.0199031,N19-QUPH-003,2248718,Quercus,phellos,Willow oak,23,40-60,RES_MEDIUM_DENSITY,N19,unkown
-78.91911048,36.01930588,N19-QUPH-004,2248959,Quercus,phellos,Willow oak,30,60-80,RES_MEDIUM_DENSITY,N19,done
-78.91375959,36.01704051,N19-QUPH-005,2249127,Quercus,phellos,Willow oak,27,60-80,RES_HIGH_DENSITY,N19,check
-78.91419545,36.01692228,N19-QUPH-006,2249137,Quercus,phellos,Willow oak,27,,RES_HIGH_DENSITY,N19,done
-78.91772356,36.01946081,N19-QUPH-007,2249532,Quercus,phellos,Willow oak,36,60-80,RES_HIGH_DENSITY,N19,replace
-78.91786471,36.0195625,N19-QUPH-008,2249661,Quercus,phellos,Willow oak,34,60-80,RES_HIGH_DENSITY,N19,replace
-78.91795993,36.01566939,N19-QUPH-009,2249687,Quercus,phellos,Willow oak ,35,60-80,RES_HIGH_DENSITY,N19,done
-78.92334765,36.01740923,N19-QUPH-010,2249939,Quercus,phellos,Willow oak,40,80+,RES_MEDIUM_DENSITY,N19,done
-78.92183874,36.01735861,N19-QUPH-011,2249988,Quercus,phellos,Willow oak,25,60-80,RES_MEDIUM_DENSITY,N19,done
-78.91430676,36.01574098,N19-QUPH-012,2250102,Quercus,phellos,Willow oak,39,60-80,RES_HIGH_DENSITY,N19,replace
-78.91778213,36.01861805,N19-QUPH-013,2250106,Quercus,phellos,Willow oak,26,40-60,RES_HIGH_DENSITY,N19,done
-78.91696852,36.01428305,N19-QUPH-014,2250181,Quercus,phellos,Willow oak,27,40-60,RES_HIGH_DENSITY,N19,done
-78.92266989,36.01737895,N19-QUPH-015,2250182,Quercus,phellos,Willow oak,43,60-80,RES_MEDIUM_DENSITY,N19,done
-78.92254382,36.01724878,N19-QUPH-016,2250409,Quercus,phellos,Willow oak,29,40-60,RES_MEDIUM_DENSITY,N19,done
-78.92400831,36.01729748,N19-QUPH-017,2304972,Quercus,phellos,Willow oak,31,20-40,RES_MEDIUM_DENSITY,N19,done
-78.9221099,36.02123066,N19-QUPH-018,2907073,Quercus,phellos,Willow oak,31,60-80,RES_MEDIUM_DENSITY,N19,done
-78.9239787,36.02059767,N19-QUPH-019,2907093,Quercus,phellos,Willow oak,14,20-40,RES_MEDIUM_DENSITY,N19,done
